sol,t,r
PFTDPW,0.01778279410038923,-3.7891973701208936
PFTDPW,0.05623413251903491,-8.67939192394077
SparsePFT,0.5623413251903491,-10.779293968249277
SparsePFT,0.5623413251903491,-7.456389943424676
SparsePFT,0.1,-10.293993650788714
PFTDPW,0.010000000000000002,-6.1012630952074
PFTDPW,0.5623413251903491,-15.017498480371765
SparsePFT,0.010000000000000002,-10.293993650788714
PFTDPW,0.5623413251903491,-11.67831280634497
SparsePFT,0.05623413251903491,-6.1012630952074
PFTDPW,0.1778279410038923,-5.369750626534104
PFTDPW,0.5623413251903491,-15.941721371628304
SparsePFT,0.31622776601683794,-11.67831280634497
PFTDPW,0.03162277660168379,-3.7891973701208936
PFTDPW,0.5623413251903491,-5.369750626534104
PFTDPW,0.1,-12.865193442340017
SparsePFT,0.010000000000000002,-13.560837081711863
PFTDPW,0.1,-12.489677307726334
PFTDPW,0.1778279410038923,-7.456389943424676
SparsePFT,0.5623413251903491,-3.7891973701208936
SparsePFT,0.010000000000000002,-15.941721371628304
SparsePFT,0.5623413251903491,-17.44227228997073
SparsePFT,0.010000000000000002,-18.461100494465715
PFTDPW,0.1778279410038923,-14.188655466244956
SparsePFT,0.03162277660168379,-14.479222692932707
PFTDPW,0.05623413251903491,-4.599737501614848
PFTDPW,0.1778279410038923,-9.783151211356543
PFTDPW,0.5623413251903491,-18.461100494465715
SparsePFT,0.5623413251903491,-9.245422327743729
PFTDPW,0.1,-10.293993650788714
SparsePFT,1.0,-3.7891973701208936
SparsePFT,0.31622776601683794,-9.245422327743729
PFTDPW,0.03162277660168379,-3.7891973701208936
SparsePFT,0.1,-16.520533360999817
SparsePFT,0.05623413251903491,-18.461100494465715
PFTDPW,0.05623413251903491,-6.796199940447029
SparsePFT,0.5623413251903491,-13.560837081711863
PFTDPW,0.1,-7.456389943424676
SparsePFT,0.03162277660168379,-13.882795227626268
PFTDPW,0.05623413251903491,-10.293993650788714
PFTDPW,0.05623413251903491,-4.599737501614848
PFTDPW,0.010000000000000002,-10.293993650788714
SparsePFT,0.03162277660168379,-17.570158675472197
PFTDPW,0.03162277660168379,-9.245422327743729
SparsePFT,0.5623413251903491,-8.67939192394077
SparsePFT,0.5623413251903491,4.435187499999998
SparsePFT,0.05623413251903491,-2.0378918228486356
SparsePFT,0.010000000000000002,-13.221933770223014
SparsePFT,0.05623413251903491,-18.461100494465715
SparsePFT,0.05623413251903491,-6.1012630952074
SparsePFT,0.01778279410038923,-12.09439716602772
PFTDPW,0.01778279410038923,-7.456389943424676
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,0.5623413251903491,-9.783151211356543
PFTDPW,0.1,7.075
SparsePFT,0.010000000000000002,-10.293993650788714
SparsePFT,0.01778279410038923,-3.7891973701208936
PFTDPW,0.5623413251903491,-8.083570446253443
SparsePFT,0.03162277660168379,-13.221933770223014
SparsePFT,0.01778279410038923,-14.188655466244956
PFTDPW,0.05623413251903491,-18.461100494465715
PFTDPW,0.05623413251903491,-8.083570446253443
PFTDPW,1.0,-15.266623556353178
PFTDPW,0.01778279410038923,-1.0925177082617212
SparsePFT,0.1,-12.489677307726334
PFTDPW,0.010000000000000002,-8.67939192394077
PFTDPW,0.05623413251903491,-7.456389943424676
PFTDPW,1.0,-18.461100494465715
PFTDPW,0.01778279410038923,-14.479222692932707
SparsePFT,0.1,-4.599737501614848
PFTDPW,0.05623413251903491,-10.779293968249277
PFTDPW,0.1,-18.461100494465715
PFTDPW,0.05623413251903491,-11.240329269836812
PFTDPW,0.5623413251903491,-15.941721371628304
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,0.31622776601683794,-14.188655466244956
PFTDPW,0.31622776601683794,-9.245422327743729
SparsePFT,0.05623413251903491,-3.7891973701208936
SparsePFT,0.5623413251903491,-15.941721371628304
SparsePFT,1.0,-6.1012630952074
PFTDPW,0.5623413251903491,-3.7891973701208936
SparsePFT,0.1778279410038923,-12.489677307726334
PFTDPW,0.03162277660168379,-9.245422327743729
PFTDPW,0.5623413251903491,-4.599737501614848
SparsePFT,0.1,-9.245422327743729
PFTDPW,0.1778279410038923,-13.221933770223014
PFTDPW,0.31622776601683794,-16.85978135830233
PFTDPW,0.01778279410038923,-17.44227228997073
SparsePFT,0.03162277660168379,-13.882795227626268
SparsePFT,0.05623413251903491,-13.221933770223014
PFTDPW,0.1,-11.240329269836812
PFTDPW,0.31622776601683794,-2.0378918228486356
PFTDPW,0.1778279410038923,-16.144635303046886
PFTDPW,0.01778279410038923,-2.935997231706203
SparsePFT,0.31622776601683794,-11.67831280634497
PFTDPW,0.1,-12.865193442340017
SparsePFT,0.05623413251903491,-6.796199940447029
PFTDPW,0.1,-1.0925177082617212
SparsePFT,1.0,-6.1012630952074
PFTDPW,0.05623413251903491,-14.479222692932707
SparsePFT,0.5623413251903491,-3.7891973701208936
PFTDPW,0.05623413251903491,-13.560837081711863
PFTDPW,0.1778279410038923,-6.1012630952074
SparsePFT,0.1778279410038923,-8.67939192394077
PFTDPW,0.1778279410038923,-11.240329269836812
SparsePFT,0.05623413251903491,0.9501188828124985
SparsePFT,0.1,-13.882795227626268
SparsePFT,0.05623413251903491,-6.796199940447029
SparsePFT,0.03162277660168379,-15.017498480371765
PFTDPW,0.1,-5.369750626534104
SparsePFT,0.1778279410038923,-10.779293968249277
PFTDPW,0.5623413251903491,-6.1012630952074
PFTDPW,0.03162277660168379,-15.728127759608743
PFTDPW,0.1778279410038923,-7.456389943424676
SparsePFT,0.03162277660168379,-18.461100494465715
PFTDPW,0.010000000000000002,-18.461100494465715
SparsePFT,0.31622776601683794,-16.85978135830233
SparsePFT,0.5623413251903491,-18.461100494465715
SparsePFT,0.31622776601683794,-5.369750626534104
PFTDPW,0.1778279410038923,-13.560837081711863
PFTDPW,0.03162277660168379,-2.0378918228486356
SparsePFT,0.5623413251903491,-14.479222692932707
PFTDPW,0.01778279410038923,-4.599737501614848
PFTDPW,0.05623413251903491,-10.779293968249277
PFTDPW,0.1,-13.560837081711863
SparsePFT,0.03162277660168379,-14.479222692932707
PFTDPW,0.01778279410038923,-2.935997231706203
SparsePFT,0.01778279410038923,-18.461100494465715
PFTDPW,0.010000000000000002,-10.293993650788714
SparsePFT,0.31622776601683794,-1.0925177082617212
PFTDPW,0.05623413251903491,-15.728127759608743
PFTDPW,0.1,-4.599737501614848
SparsePFT,0.1778279410038923,-13.221933770223014
PFTDPW,0.01778279410038923,-10.293993650788714
SparsePFT,0.01778279410038923,-14.479222692932707
PFTDPW,0.31622776601683794,-16.144635303046886
SparsePFT,1.0,-2.0378918228486356
PFTDPW,0.1778279410038923,-10.779293968249277
PFTDPW,0.5623413251903491,-10.293993650788714
PFTDPW,0.03162277660168379,-12.09439716602772
PFTDPW,0.01778279410038923,-12.489677307726334
SparsePFT,0.01778279410038923,-17.016792290387215
SparsePFT,0.5623413251903491,-13.560837081711863
SparsePFT,0.1778279410038923,-9.245422327743729
SparsePFT,0.1778279410038923,-6.1012630952074
PFTDPW,0.01778279410038923,-10.293993650788714
PFTDPW,0.5623413251903491,-16.337403537894545
SparsePFT,0.1,-12.865193442340017
SparsePFT,0.010000000000000002,-14.75526155828607
SparsePFT,0.01778279410038923,-13.221933770223014
SparsePFT,0.05623413251903491,-13.560837081711863
PFTDPW,0.5623413251903491,-4.599737501614848
PFTDPW,0.1,-3.7891973701208936
PFTDPW,0.05623413251903491,-3.7891973701208936
SparsePFT,0.03162277660168379,-13.560837081711863
PFTDPW,0.1,-5.369750626534104
PFTDPW,0.1,-17.44227228997073
SparsePFT,0.05623413251903491,-8.083570446253443
SparsePFT,0.010000000000000002,-16.337403537894545
PFTDPW,0.31622776601683794,-13.882795227626268
PFTDPW,0.5623413251903491,7.075
PFTDPW,0.5623413251903491,-11.67831280634497
SparsePFT,0.05623413251903491,-14.188655466244956
PFTDPW,0.010000000000000002,3.213428124999999
PFTDPW,0.01778279410038923,-5.369750626534104
PFTDPW,0.01778279410038923,-18.461100494465715
SparsePFT,0.1778279410038923,-18.461100494465715
PFTDPW,0.1778279410038923,-0.09738706132812691
PFTDPW,0.31622776601683794,-9.783151211356543
SparsePFT,0.31622776601683794,-7.456389943424676
PFTDPW,1.0,-13.882795227626268
SparsePFT,0.1778279410038923,-6.1012630952074
PFTDPW,0.1778279410038923,-11.240329269836812
SparsePFT,0.05623413251903491,-13.560837081711863
SparsePFT,0.03162277660168379,3.213428124999999
PFTDPW,0.010000000000000002,-21.639734191487957
PFTDPW,0.5623413251903491,-6.796199940447029
SparsePFT,1.0,-14.188655466244956
SparsePFT,0.1,-1.0925177082617212
SparsePFT,0.01778279410038923,-14.479222692932707
SparsePFT,0.03162277660168379,-15.728127759608743
SparsePFT,0.010000000000000002,-12.865193442340017
SparsePFT,0.1,-3.7891973701208936
SparsePFT,0.01778279410038923,-15.941721371628304
SparsePFT,0.05623413251903491,-8.67939192394077
SparsePFT,0.1778279410038923,4.435187499999998
SparsePFT,0.05623413251903491,-14.75526155828607
PFTDPW,1.0,7.075
PFTDPW,0.01778279410038923,-4.599737501614848
PFTDPW,1.0,0.9501188828124985
PFTDPW,0.01778279410038923,-13.221933770223014
SparsePFT,1.0,-12.489677307726334
PFTDPW,0.01778279410038923,-11.240329269836812
PFTDPW,0.05623413251903491,-7.456389943424676
SparsePFT,0.5623413251903491,-4.599737501614848
PFTDPW,0.5623413251903491,-4.599737501614848
PFTDPW,0.5623413251903491,-15.941721371628304
SparsePFT,0.1,-17.016792290387215
PFTDPW,1.0,-11.67831280634497
PFTDPW,0.05623413251903491,-13.221933770223014
SparsePFT,0.01778279410038923,-3.7891973701208936
SparsePFT,0.05623413251903491,-13.882795227626268
SparsePFT,0.1778279410038923,-14.479222692932707
PFTDPW,1.0,-0.09738706132812691
SparsePFT,0.01778279410038923,-16.85978135830233
PFTDPW,0.1,-14.479222692932707
PFTDPW,0.01778279410038923,-15.266623556353178
SparsePFT,0.03162277660168379,-10.293993650788714
PFTDPW,0.1778279410038923,-5.369750626534104
PFTDPW,0.010000000000000002,-2.935997231706203
SparsePFT,0.1778279410038923,-13.882795227626268
PFTDPW,0.5623413251903491,-10.779293968249277
PFTDPW,0.5623413251903491,-8.67939192394077
PFTDPW,0.1,-5.369750626534104
SparsePFT,0.010000000000000002,-18.461100494465715
SparsePFT,0.01778279410038923,-1.0925177082617212
SparsePFT,0.05623413251903491,-17.16595267586785
SparsePFT,0.05623413251903491,-8.67939192394077
PFTDPW,0.03162277660168379,-13.882795227626268
PFTDPW,1.0,-16.694506692949826
SparsePFT,1.0,2.0527567187499987
SparsePFT,0.31622776601683794,-15.017498480371765
PFTDPW,0.03162277660168379,-16.694506692949826
PFTDPW,0.010000000000000002,-8.083570446253443
PFTDPW,0.010000000000000002,-5.369750626534104
SparsePFT,0.1,-9.245422327743729
SparsePFT,0.03162277660168379,-9.245422327743729
PFTDPW,0.010000000000000002,-9.245422327743729
SparsePFT,0.5623413251903491,-15.266623556353178
PFTDPW,0.01778279410038923,-6.1012630952074
PFTDPW,0.010000000000000002,-16.85978135830233
PFTDPW,0.31622776601683794,-18.461100494465715
SparsePFT,0.1,-0.09738706132812691
SparsePFT,0.03162277660168379,-8.083570446253443
PFTDPW,0.1778279410038923,-12.09439716602772
SparsePFT,0.010000000000000002,-18.461100494465715
PFTDPW,1.0,-8.083570446253443
SparsePFT,0.03162277660168379,-8.67939192394077
SparsePFT,0.1778279410038923,-12.489677307726334
PFTDPW,0.03162277660168379,-11.67831280634497
SparsePFT,0.1,-9.245422327743729
PFTDPW,0.03162277660168379,-10.293993650788714
SparsePFT,0.5623413251903491,-9.245422327743729
PFTDPW,0.01778279410038923,-13.221933770223014
SparsePFT,0.5623413251903491,-15.017498480371765
PFTDPW,0.05623413251903491,-8.67939192394077
SparsePFT,0.05623413251903491,-13.560837081711863
PFTDPW,1.0,-8.67939192394077
SparsePFT,0.31622776601683794,-11.240329269836812
PFTDPW,0.31622776601683794,-12.09439716602772
SparsePFT,0.03162277660168379,-9.245422327743729
SparsePFT,0.5623413251903491,-11.240329269836812
PFTDPW,0.31622776601683794,-10.779293968249277
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,0.1778279410038923,-5.369750626534104
SparsePFT,0.01778279410038923,-18.461100494465715
SparsePFT,0.01778279410038923,-7.456389943424676
PFTDPW,0.05623413251903491,-0.09738706132812691
SparsePFT,0.03162277660168379,-5.369750626534104
SparsePFT,0.1778279410038923,-2.935997231706203
SparsePFT,0.05623413251903491,-12.865193442340017
SparsePFT,1.0,-5.369750626534104
SparsePFT,0.1,-15.728127759608743
SparsePFT,0.010000000000000002,0.9501188828124985
PFTDPW,0.31622776601683794,-3.7891973701208936
PFTDPW,1.0,-6.796199940447029
SparsePFT,0.1,-15.728127759608743
SparsePFT,0.010000000000000002,-8.67939192394077
SparsePFT,0.1,-12.865193442340017
SparsePFT,1.0,-11.67831280634497
PFTDPW,0.05623413251903491,-7.456389943424676
PFTDPW,0.01778279410038923,-8.083570446253443
SparsePFT,0.31622776601683794,-14.479222692932707
SparsePFT,0.1778279410038923,-4.599737501614848
SparsePFT,0.01778279410038923,-17.016792290387215
PFTDPW,0.03162277660168379,-13.560837081711863
PFTDPW,0.5623413251903491,-9.245422327743729
SparsePFT,1.0,-14.75526155828607
SparsePFT,0.010000000000000002,-3.7891973701208936
PFTDPW,0.1,-9.783151211356543
PFTDPW,0.1,-6.796199940447029
SparsePFT,0.31622776601683794,-16.520533360999817
SparsePFT,0.31622776601683794,-2.935997231706203
PFTDPW,0.01778279410038923,-11.67831280634497
SparsePFT,0.010000000000000002,5.721249999999999
SparsePFT,0.1778279410038923,-7.456389943424676
SparsePFT,1.0,-10.293993650788714
SparsePFT,0.31622776601683794,-7.456389943424676
SparsePFT,0.03162277660168379,-7.456389943424676
SparsePFT,1.0,-6.1012630952074
SparsePFT,0.31622776601683794,-3.7891973701208936
SparsePFT,0.1,-9.245422327743729
SparsePFT,0.01778279410038923,-9.245422327743729
SparsePFT,0.1,-18.461100494465715
SparsePFT,0.5623413251903491,-5.369750626534104
SparsePFT,0.01778279410038923,-18.461100494465715
SparsePFT,0.010000000000000002,-16.144635303046886
SparsePFT,0.03162277660168379,-2.935997231706203
SparsePFT,0.5623413251903491,-16.144635303046886
PFTDPW,0.31622776601683794,-3.7891973701208936
SparsePFT,0.01778279410038923,-15.266623556353178
SparsePFT,0.1778279410038923,-8.083570446253443
SparsePFT,0.5623413251903491,-7.456389943424676
PFTDPW,0.5623413251903491,-9.245422327743729
SparsePFT,0.010000000000000002,-14.75526155828607
PFTDPW,1.0,-11.67831280634497
PFTDPW,0.05623413251903491,-13.882795227626268
SparsePFT,0.010000000000000002,-4.599737501614848
PFTDPW,0.31622776601683794,-13.221933770223014
SparsePFT,0.05623413251903491,-7.456389943424676
SparsePFT,0.1778279410038923,-6.1012630952074
SparsePFT,1.0,-4.599737501614848
SparsePFT,1.0,-11.240329269836812
PFTDPW,0.05623413251903491,-10.779293968249277
PFTDPW,0.1778279410038923,-5.369750626534104
PFTDPW,1.0,-7.456389943424676
SparsePFT,0.01778279410038923,-18.461100494465715
PFTDPW,0.010000000000000002,-12.09439716602772
SparsePFT,0.03162277660168379,-8.67939192394077
SparsePFT,1.0,-9.245422327743729
PFTDPW,0.31622776601683794,-8.67939192394077
SparsePFT,0.1,-14.75526155828607
SparsePFT,0.31622776601683794,-5.369750626534104
SparsePFT,0.05623413251903491,-7.456389943424676
SparsePFT,0.01778279410038923,-5.369750626534104
SparsePFT,1.0,-8.67939192394077
SparsePFT,1.0,-6.796199940447029
PFTDPW,0.010000000000000002,-18.461100494465715
PFTDPW,0.01778279410038923,-1.0925177082617212
PFTDPW,0.010000000000000002,-15.017498480371765
SparsePFT,1.0,-6.1012630952074
PFTDPW,0.03162277660168379,-8.67939192394077
PFTDPW,0.01778279410038923,-8.67939192394077
PFTDPW,0.03162277660168379,-6.796199940447029
SparsePFT,0.5623413251903491,-12.09439716602772
PFTDPW,0.1,-10.293993650788714
PFTDPW,0.010000000000000002,-7.456389943424676
PFTDPW,0.1778279410038923,2.0527567187499987
SparsePFT,1.0,-7.456389943424676
PFTDPW,0.010000000000000002,-4.599737501614848
SparsePFT,1.0,-17.016792290387215
PFTDPW,0.5623413251903491,-0.09738706132812691
SparsePFT,0.01778279410038923,-13.882795227626268
SparsePFT,0.5623413251903491,-14.188655466244956
PFTDPW,0.010000000000000002,-7.456389943424676
PFTDPW,0.1778279410038923,-5.369750626534104
PFTDPW,0.01778279410038923,-18.461100494465715
PFTDPW,0.5623413251903491,-6.796199940447029
PFTDPW,0.1,-5.369750626534104
SparsePFT,0.1,3.213428124999999
PFTDPW,0.1778279410038923,5.721249999999999
PFTDPW,0.1,8.5
SparsePFT,0.05623413251903491,-12.489677307726334
SparsePFT,0.010000000000000002,-12.865193442340017
SparsePFT,0.01778279410038923,-14.75526155828607
PFTDPW,0.5623413251903491,-13.882795227626268
SparsePFT,1.0,-16.85978135830233
PFTDPW,0.5623413251903491,-10.293993650788714
PFTDPW,0.1778279410038923,-8.083570446253443
SparsePFT,0.31622776601683794,-3.7891973701208936
SparsePFT,0.03162277660168379,-10.779293968249277
PFTDPW,0.1778279410038923,-12.865193442340017
PFTDPW,0.03162277660168379,-14.479222692932707
SparsePFT,0.01778279410038923,-15.266623556353178
PFTDPW,0.31622776601683794,-0.09738706132812691
SparsePFT,0.01778279410038923,-15.728127759608743
SparsePFT,0.5623413251903491,-18.461100494465715
PFTDPW,0.05623413251903491,-10.779293968249277
PFTDPW,0.010000000000000002,-13.221933770223014
PFTDPW,0.1778279410038923,-6.1012630952074
PFTDPW,0.31622776601683794,-18.461100494465715
PFTDPW,0.05623413251903491,-11.67831280634497
PFTDPW,0.1778279410038923,-6.1012630952074
PFTDPW,0.01778279410038923,-11.67831280634497
SparsePFT,0.31622776601683794,-12.09439716602772
SparsePFT,1.0,-18.461100494465715
SparsePFT,1.0,-9.783151211356543
SparsePFT,1.0,-9.783151211356543
PFTDPW,0.31622776601683794,-2.0378918228486356
SparsePFT,0.31622776601683794,-0.09738706132812691
SparsePFT,0.05623413251903491,-12.865193442340017
PFTDPW,0.1,-2.0378918228486356
SparsePFT,0.010000000000000002,-15.503292378535518
SparsePFT,0.5623413251903491,-7.456389943424676
SparsePFT,0.5623413251903491,-10.293993650788714
SparsePFT,0.01778279410038923,-9.783151211356543
PFTDPW,0.31622776601683794,-9.245422327743729
SparsePFT,0.1778279410038923,-18.461100494465715
SparsePFT,0.1778279410038923,-2.935997231706203
SparsePFT,0.31622776601683794,0.9501188828124985
PFTDPW,0.03162277660168379,-8.67939192394077
PFTDPW,0.1778279410038923,-8.083570446253443
SparsePFT,1.0,-2.0378918228486356
PFTDPW,0.03162277660168379,-9.245422327743729
SparsePFT,0.05623413251903491,-12.489677307726334
SparsePFT,0.1,-4.599737501614848
SparsePFT,0.03162277660168379,-5.369750626534104
PFTDPW,1.0,-10.779293968249277
SparsePFT,0.03162277660168379,-8.67939192394077
PFTDPW,0.31622776601683794,-6.1012630952074
PFTDPW,0.1778279410038923,-6.796199940447029
SparsePFT,0.1778279410038923,-12.09439716602772
PFTDPW,0.05623413251903491,-15.017498480371765
PFTDPW,1.0,-8.083570446253443
SparsePFT,1.0,-4.599737501614848
PFTDPW,0.1778279410038923,-11.240329269836812
SparsePFT,0.010000000000000002,-18.461100494465715
SparsePFT,0.03162277660168379,-17.307655042074458
PFTDPW,1.0,-16.694506692949826
SparsePFT,0.01778279410038923,-7.456389943424676
SparsePFT,0.1778279410038923,-8.083570446253443
PFTDPW,1.0,-1.0925177082617212
PFTDPW,0.1,-18.461100494465715
PFTDPW,0.05623413251903491,-1.0925177082617212
PFTDPW,0.1,-8.083570446253443
PFTDPW,1.0,-14.188655466244956
PFTDPW,0.1778279410038923,-9.783151211356543
PFTDPW,1.0,-4.599737501614848
PFTDPW,1.0,-0.09738706132812691
PFTDPW,0.31622776601683794,-3.7891973701208936
SparsePFT,0.1778279410038923,-5.369750626534104
SparsePFT,0.1778279410038923,-9.245422327743729
SparsePFT,0.01778279410038923,-15.941721371628304
PFTDPW,0.05623413251903491,-10.293993650788714
SparsePFT,1.0,-9.783151211356543
SparsePFT,0.01778279410038923,-18.461100494465715
SparsePFT,1.0,-6.796199940447029
PFTDPW,0.01778279410038923,-4.599737501614848
PFTDPW,0.05623413251903491,-14.188655466244956
SparsePFT,0.1778279410038923,-4.599737501614848
PFTDPW,0.1,-5.369750626534104
PFTDPW,0.010000000000000002,-12.09439716602772
PFTDPW,0.31622776601683794,-8.083570446253443
SparsePFT,0.05623413251903491,-7.456389943424676
PFTDPW,0.31622776601683794,-0.09738706132812691
PFTDPW,0.5623413251903491,-6.796199940447029
SparsePFT,0.1778279410038923,-10.293993650788714
PFTDPW,0.1778279410038923,-10.293993650788714
SparsePFT,0.1,-3.7891973701208936
SparsePFT,1.0,-8.67939192394077
PFTDPW,0.5623413251903491,-7.456389943424676
SparsePFT,0.1,-14.479222692932707
PFTDPW,0.31622776601683794,-11.240329269836812
PFTDPW,0.010000000000000002,-18.461100494465715
PFTDPW,1.0,-6.796199940447029
SparsePFT,0.5623413251903491,-6.1012630952074
SparsePFT,0.1,-9.783151211356543
PFTDPW,0.31622776601683794,-9.245422327743729
SparsePFT,0.01778279410038923,-7.456389943424676
PFTDPW,0.01778279410038923,-15.266623556353178
PFTDPW,0.31622776601683794,-6.1012630952074
SparsePFT,0.1,-16.337403537894545
SparsePFT,0.01778279410038923,-10.293993650788714
PFTDPW,0.1778279410038923,-9.245422327743729
SparsePFT,0.5623413251903491,-10.293993650788714
SparsePFT,0.010000000000000002,-7.456389943424676
PFTDPW,0.31622776601683794,-9.783151211356543
PFTDPW,0.03162277660168379,-1.0925177082617212
PFTDPW,0.01778279410038923,-14.188655466244956
SparsePFT,0.31622776601683794,-13.221933770223014
PFTDPW,0.05623413251903491,-6.1012630952074
PFTDPW,0.31622776601683794,8.5
PFTDPW,0.05623413251903491,-8.083570446253443
SparsePFT,0.5623413251903491,-9.783151211356543
PFTDPW,0.01778279410038923,-8.083570446253443
SparsePFT,0.03162277660168379,-13.882795227626268
SparsePFT,1.0,-3.7891973701208936
PFTDPW,0.1,-15.728127759608743
SparsePFT,1.0,0.9501188828124985
SparsePFT,0.1,-15.728127759608743
PFTDPW,0.05623413251903491,-10.779293968249277
PFTDPW,0.1,-3.7891973701208936
SparsePFT,1.0,-1.0925177082617212
PFTDPW,0.1,-11.67831280634497
PFTDPW,0.5623413251903491,-11.240329269836812
SparsePFT,0.01778279410038923,-13.882795227626268
PFTDPW,0.1778279410038923,-2.935997231706203
SparsePFT,1.0,-6.1012630952074
SparsePFT,0.03162277660168379,-10.779293968249277
SparsePFT,0.5623413251903491,-6.796199940447029
PFTDPW,0.1,-5.369750626534104
PFTDPW,0.01778279410038923,-18.461100494465715
SparsePFT,0.5623413251903491,-10.779293968249277
SparsePFT,0.1778279410038923,-11.240329269836812
SparsePFT,0.05623413251903491,3.213428124999999
PFTDPW,0.03162277660168379,-1.0925177082617212
PFTDPW,0.5623413251903491,-15.266623556353178
PFTDPW,0.31622776601683794,-8.67939192394077
SparsePFT,0.010000000000000002,-18.461100494465715
PFTDPW,0.31622776601683794,-6.796199940447029
SparsePFT,1.0,-9.245422327743729
PFTDPW,0.5623413251903491,-10.779293968249277
PFTDPW,0.010000000000000002,-11.67831280634497
PFTDPW,0.31622776601683794,-8.083570446253443
PFTDPW,0.03162277660168379,-12.865193442340017
SparsePFT,0.31622776601683794,-10.779293968249277
PFTDPW,0.31622776601683794,-2.935997231706203
PFTDPW,1.0,3.213428124999999
PFTDPW,0.01778279410038923,-6.796199940447029
PFTDPW,0.1778279410038923,-6.796199940447029
PFTDPW,0.1778279410038923,-9.783151211356543
SparsePFT,0.03162277660168379,-18.461100494465715
PFTDPW,0.1,-8.083570446253443
SparsePFT,1.0,-18.461100494465715
PFTDPW,0.01778279410038923,-16.144635303046886
PFTDPW,0.03162277660168379,-13.882795227626268
SparsePFT,0.1,-12.865193442340017
PFTDPW,0.010000000000000002,-16.85978135830233
PFTDPW,0.03162277660168379,-10.779293968249277
SparsePFT,0.01778279410038923,-10.779293968249277
SparsePFT,0.05623413251903491,-10.779293968249277
PFTDPW,1.0,-15.728127759608743
PFTDPW,0.1,-1.0925177082617212
PFTDPW,0.1,-9.245422327743729
SparsePFT,0.1,-6.1012630952074
PFTDPW,0.010000000000000002,-1.0925177082617212
PFTDPW,0.01778279410038923,-13.221933770223014
PFTDPW,0.1,-5.369750626534104
PFTDPW,0.03162277660168379,-18.461100494465715
PFTDPW,0.03162277660168379,-10.293993650788714
SparsePFT,0.05623413251903491,-9.245422327743729
SparsePFT,1.0,-9.245422327743729
PFTDPW,0.1,-2.0378918228486356
PFTDPW,0.01778279410038923,-7.456389943424676
SparsePFT,0.5623413251903491,-6.1012630952074
PFTDPW,0.010000000000000002,-18.461100494465715
SparsePFT,0.01778279410038923,-9.783151211356543
SparsePFT,0.1778279410038923,-16.520533360999817
SparsePFT,0.5623413251903491,-10.779293968249277
SparsePFT,0.05623413251903491,-9.783151211356543
SparsePFT,0.01778279410038923,-13.882795227626268
SparsePFT,0.05623413251903491,-16.337403537894545
PFTDPW,0.05623413251903491,-14.188655466244956
SparsePFT,0.1778279410038923,-8.083570446253443
PFTDPW,0.1,-6.1012630952074
SparsePFT,0.1,-9.783151211356543
SparsePFT,0.010000000000000002,-3.7891973701208936
PFTDPW,1.0,7.075
PFTDPW,0.1778279410038923,-5.369750626534104
SparsePFT,0.5623413251903491,-9.245422327743729
PFTDPW,0.31622776601683794,-11.240329269836812
SparsePFT,0.03162277660168379,-2.0378918228486356
SparsePFT,0.010000000000000002,-8.083570446253443
SparsePFT,0.05623413251903491,-6.1012630952074
SparsePFT,0.5623413251903491,-10.293993650788714
PFTDPW,0.01778279410038923,-9.245422327743729
PFTDPW,0.1,-6.796199940447029
PFTDPW,0.31622776601683794,-5.369750626534104
SparsePFT,0.01778279410038923,-9.783151211356543
SparsePFT,0.1778279410038923,-11.67831280634497
SparsePFT,0.31622776601683794,-5.369750626534104
SparsePFT,0.1778279410038923,-2.935997231706203
PFTDPW,0.1,-10.779293968249277
PFTDPW,0.1778279410038923,-17.016792290387215
SparsePFT,0.5623413251903491,-8.67939192394077
PFTDPW,0.31622776601683794,-13.221933770223014
PFTDPW,0.1778279410038923,-9.245422327743729
PFTDPW,0.05623413251903491,-9.783151211356543
SparsePFT,1.0,-9.783151211356543
SparsePFT,0.05623413251903491,-7.456389943424676
SparsePFT,0.05623413251903491,-14.75526155828607
PFTDPW,0.31622776601683794,-6.796199940447029
PFTDPW,0.010000000000000002,2.0527567187499987
PFTDPW,0.01778279410038923,-8.083570446253443
SparsePFT,0.5623413251903491,-6.796199940447029
PFTDPW,0.03162277660168379,-4.599737501614848
PFTDPW,1.0,-6.1012630952074
SparsePFT,1.0,-10.293993650788714
SparsePFT,0.010000000000000002,-16.520533360999817
SparsePFT,0.31622776601683794,-18.461100494465715
PFTDPW,0.03162277660168379,-11.67831280634497
PFTDPW,0.31622776601683794,-8.67939192394077
PFTDPW,0.1778279410038923,-9.245422327743729
SparsePFT,0.1,-6.796199940447029
SparsePFT,0.03162277660168379,-17.44227228997073
SparsePFT,0.03162277660168379,-7.456389943424676
PFTDPW,0.05623413251903491,-13.560837081711863
SparsePFT,0.1,-18.461100494465715
SparsePFT,0.010000000000000002,-16.144635303046886
SparsePFT,0.010000000000000002,-17.44227228997073
PFTDPW,0.05623413251903491,-11.67831280634497
PFTDPW,0.01778279410038923,-5.369750626534104
SparsePFT,0.1778279410038923,-1.0925177082617212
SparsePFT,0.010000000000000002,-17.307655042074458
PFTDPW,0.010000000000000002,-3.7891973701208936
